Time,latency
0,0.064
1,0.064
2,0.064
3,0.064
4,0.064
5,0.064
6,0.064
7,0.064
8,0.064
9,0.064
10,0.064
11,0.064
12,0.064
13,0.064
14,0.064
15,0.064
16,0.064
17,0.064
18,0.064
19,0.064
20,0.064
21,0.064
22,0.064
23,0.064
24,0.063
25,0.063
26,0.063
27,0.063
28,0.063
29,0.063
30,0.063
31,0.063
32,0.063
33,0.063
34,0.064
35,0.064
36,0.064
37,0.064
38,0.064
39,0.066
40,0.066
41,0.066
42,0.066
43,0.066
44,0.066
45,0.066
46,0.066
47,0.066
48,0.066
49,0.066
50,0.066
51,0.064
52,0.064
53,0.064
54,0.06
55,0.06
56,0.059
57,0.059
58,0.059
59,0.059
60,0.059
61,0.059
62,0.059
63,0.059
64,0.058
65,0.058
66,0.064
67,0.064
68,0.064
69,0.044
70,0.044
71,0.043
72,0.043
73,0.043
74,0.043
75,0.043
76,0.043
77,0.043
78,0.043
79,0.042
80,0.042
81,0.064
82,0.064
83,0.064
84,0.044
85,0.044
86,0.043
87,0.043
88,0.043
89,0.043
90,0.043
91,0.043
92,0.043
93,0.043
94,0.043
95,0.043
96,0.044
97,0.044
98,0.044
99,0.052
100,0.052
101,0.061
102,0.061
103,0.061
104,0.066
105,0.066
106,0.066
107,0.066
108,0.066
109,0.073
110,0.073
111,0.059
112,0.059
113,0.059
114,0.074
115,0.074
116,0.076
117,0.077
118,0.077
119,0.082
120,0.082
121,0.082
122,0.082
123,0.082
124,0.077
125,0.077
126,0.075
127,0.068
128,0.068
129,0.072
130,0.072
131,0.066
132,0.066
133,0.066
134,0.065
135,0.065
136,0.065
137,0.065
138,0.065
139,0.061
140,0.061
141,0.067
142,0.069
143,0.069
144,0.062
145,0.062
146,0.067
147,0.07
148,0.07
149,0.071
150,0.071
151,0.071
152,0.071
153,0.071
154,0.078
155,0.078
156,0.075
157,0.067
158,0.067
159,0.076
160,0.076
161,0.074
162,0.075
163,0.075
164,0.078
165,0.078
166,0.078
167,0.078
168,0.078
169,0.063
170,0.063
171,0.061
172,0.04
173,0.04
174,0.054
175,0.054
176,0.057
177,0.059
178,0.059
179,0.064
180,0.064
181,0.064
182,0.064
183,0.064
184,0.063
185,0.063
186,0.061
187,0.057
188,0.057
189,0.071
190,0.071
191,0.068
192,0.068
193,0.068
194,0.071
195,0.071
196,0.071
197,0.071
198,0.071
199,0.07
200,0.07
201,0.075
202,0.083
203,0.083
204,0.08
205,0.08
206,0.081
207,0.077
208,0.077
209,0.076
210,0.076
211,0.076
212,0.076
213,0.076
214,0.072
215,0.072
216,0.066
217,0.068
218,0.068
219,0.068
220,0.068
221,0.065
222,0.063
223,0.063
224,0.062
225,0.062
226,0.062
227,0.062
228,0.062
229,0.07
230,0.07
231,0.075
232,0.095
233,0.095
234,0.087
235,0.087
236,0.08
237,0.081
238,0.081
239,0.077
240,0.077
241,0.077
242,0.077
243,0.077
244,0.079
245,0.079
246,0.089
247,0.094
248,0.094
249,0.083
250,0.083
251,0.077
252,0.073
253,0.073
254,0.068
255,0.068
256,0.068
257,0.068
258,0.068
259,0.056
260,0.056
261,0.055
262,0.052
263,0.052
264,0.055
265,0.055
266,0.059
267,0.062
268,0.062
269,0.065
270,0.065
271,0.065
272,0.065
273,0.065
274,0.071
275,0.071
276,0.071
277,0.069
278,0.069
279,0.08
280,0.08
281,0.081
282,0.076
283,0.076
284,0.078
285,0.078
286,0.078
287,0.078
288,0.078
289,0.063
290,0.063
291,0.054
292,0.05
293,0.05
294,0.058
295,0.058
296,0.063
297,0.062
298,0.062
299,0.065
300,0.065
301,0.065
302,0.065
303,0.065
304,0.063
305,0.063
306,0.055
307,0.052
308,0.052
309,0.062
310,0.062
311,0.066
312,0.067
313,0.067
314,0.07
315,0.07
316,0.07
317,0.07
318,0.07
319,0.071
320,0.071
321,0.069
322,0.065
323,0.065
324,0.063
325,0.063
326,0.066
327,0.063
328,0.063
329,0.062
330,0.062
331,0.062
332,0.062
333,0.062
334,0.062
335,0.062
336,0.055
337,0.059
338,0.059
339,0.062
340,0.062
341,0.064
342,0.064
343,0.064
344,0.065
345,0.065
346,0.065
347,0.065
348,0.065
349,0.064
350,0.064
351,0.061
352,0.06
353,0.06
354,0.068
355,0.068
356,0.064
357,0.064
358,0.064
359,0.065
360,0.065
361,0.065
362,0.065
363,0.065
364,0.06
365,0.06
366,0.065
367,0.067
368,0.067
369,0.07
370,0.07
371,0.069
372,0.066
373,0.066
374,0.066
375,0.066
376,0.066
377,0.066
378,0.066
379,0.066
380,0.066
381,0.066
382,0.077
383,0.077
384,0.066
385,0.066
386,0.061
387,0.063
388,0.063
389,0.06
390,0.06
391,0.06
392,0.06
393,0.06
394,0.06
395,0.06
396,0.069
397,0.063
398,0.063
399,0.068
400,0.068
401,0.074
402,0.074
403,0.074
404,0.077
405,0.077
406,0.077
407,0.077
408,0.077
409,0.092
410,0.092
411,0.064
412,0.064
413,0.064
414,0.064
415,0.064
416,0.064
417,0.064
418,0.064
419,0.064
420,0.064
421,0.064
422,0.064
423,0.064
424,0.064
425,0.064
